renal_failure	kidney_failure	4
abortion	miscarriage	3.225
heart	myocardium	3.075
stroke	infarct	2.85
delusion	schizophrenia	2.4
calcification	stenosis	2.175
tumor_metastasis	adenocarcinoma	2.025
congestive_heart_failure	pulmonary_edema	1.8
pulmonary_fibrosis	malignant_tumor_of_lung	1.475
diarrhea	stomach_cramps	1.55
mitral_stenosis	atrial_fibrillation	1.55
brain_tumor	intracranial_hemorrhage	1.475
antibiotic	allergy	1.325
pulmonary_embolus	myocardial_infarction	1.325
carpal_tunnel_syndrome	osteoarthritis	1.325
rheumatoid_arthritis	lupus	1.325
acne	syringe	1.25
diabetes_mellitus	hypertension	1.25
cortisone	total_knee_replacement	1.175
cholangiocarcinoma	colonoscopy	1.075
lymphoid_hyperplasia	laryngeal_cancer	1.075
appendicitis	osteoporosis	1
depression	cellulitis	1
hyperlipidemia	tumor_metastasis	1
multiple_sclerosis	psychosis	1
peptic_ulcer_disease	myopia	1
rectal_polyp	aorta	1
varicose_vein	entire_knee_meniscus	1
xerostomia	alcoholic_cirrhosis	1
