Computer	Keyboard_(computing)	7.62
Jerusalem	Israel	8.46
Planet	Galaxy	8.11
Canyon	Landscape	7.53
OPEC	Country	5.63
Day	Summer	3.94
Day	Dawn	7.53
Country	Citizenship	7.31
Planet	People	5.75
Natural_environment	Ecology	8.81
Diego_Maradona	Association_football	8.62
OPEC	Oil	8.59
Money	Bank	8.5
Computer	Computer_software	8.5
Law	Lawyer	8.38
Weather	Weather_forecasting	8.34
Computer_network	Computer_hardware	8.31
Nature	Natural_environment	8.31
Federal_Bureau_of_Investigation	Criminal_procedure	8.31
Money	Wealth_(economics)	8.27
Psychology	Sigmund_Freud	8.21
News	Report	8.16
War	Soldier	8.13
Physics	Proton	8.12
Bank	Money	8.12
Stock	Market	8.08
Planet	Constellation	8.06
Credit_(finance)	Credit_card	8.06
Hotel	null	8.03
Closet	Clothing	8.0
Soap_opera	Opera	7.94
Planet	Astronomer	7.94
Planet	Outer_space	7.92
Film	Movie_theater	7.92
Medication	Healing	7.91
Infant	Mother	7.85
Money	Deposit_account	7.73
Television	Film	7.72
Psychology	Mind	7.69
Game	Team	7.69
null	Ticket_(admission)	7.69
Jerusalem	Palestinian_people	7.65
Yasser_Arafat	Terrorism	7.65
Boxing	null	7.61
Computer	Internet	7.58
Money	Property	7.57
Tennis	Racquet	7.56
Telephone	Telecommunication	7.5
Currency	Market	7.5
Psychology	Cognition	7.48
Seafood	Sea	7.47
Book	Paper	7.46
Book	Library	7.46
Psychology	Major_depressive_disorder	7.42
Combat	null	7.41
Film	Celebrity	7.38
100_(number)	Percentage	7.38
Dollar	Profit	7.38
Money	Possession_(law)	7.29
Drinkware	Drink	7.25
Psychology	Health	7.23
Summer	Drought	7.16
Investor	null	7.13
Company	Stock	7.08
Stroke	Hospital	7.03
Liability	Insurance	7.03
Game	null	7.03
Psychology	Anxiety	7.0
Game	null	6.97
Federal_Bureau_of_Investigation	Fingerprint	6.94
Money	Money	6.88
Psychology	Fear	6.85
Drug	Abuse	6.85
Concert	Virtuoso	6.81
Computer	Laboratory	6.78
Love	Sexual_intercourse	6.77
Problem	null	6.75
Film	Film_criticism	6.73
Yasser_Arafat	Peace	6.73
Bed	Closet	6.72
Lawyer	Evidence_(law)	6.69
Fertility	Egg_(biology)	6.69
Precedent	Law	6.65
Minister_(government)	Political_party	6.63
Psychology	Clinic	6.58
Drinkware	Coffee	6.58
Water	Soil_mechanics	6.56
Government	Crisis	6.56
Space	World	6.53
Division_(mathematics)	Calculation	6.48
Victimology	Emergency	6.47
Luxury_vehicle	Automobile	6.47
Tool	Tool	6.46
Competition_(economics)	Price	6.44
Psychology	Physician	6.42
Gender	Equality	6.41
null	Categorization	6.38
Video	Archive	6.34
Oil	Stock	6.34
Governor	Office	6.34
Discovery_(observation)	Space	6.34
World_record	Number	6.31
Monk	Monk	6.27
Manufacturing	Crew	6.25
Nature_(innate)	Man	6.25
Family	Planning	6.25
Disaster	Area	6.25
Food	Cooking	6.22
Environmental_preservation	World	6.19
Film	Popcorn	6.19
Sexual_partner	null	6.19
Game	null	6.19
Dollar	Deficit	6.09
Weapon	Secrecy	6.06
Rain	Flood	6.03
null	null	6.0
null	Hotel	6.0
null	null	6.0
Game	Tournament	5.97
Baseball	Season_(sports)	5.97
Drink	Mouth	5.96
Personal_life	null	5.94
Grocery_store	Money	5.94
Energy_industry	Crisis	5.94
Reason	null	5.91
Tool	Manufacturing	5.91
Drinkware	Liquid	5.9
Military_deployment	Withdrawal_(military)	5.88
Tiger	Zoo	5.87
Travel	Automobile	5.85
Money	Money_laundering	5.65
Summer	Nature	5.63
Military_decoration	Courage	5.63
Mars	Scientist	5.63
Alcohol	Chemistry	5.54
Disability	Death	5.47
Social_change	Attitude_(psychology)	5.44
null	Lodging	5.41
Territory	Surface	5.34
Size	Topographic_prominence	5.31
Collection_(museum)	Souvenir	5.31
Credit_(finance)	Information	5.31
Territory	Kilometre	5.28
Capital_punishment	Death_row	5.25
Physician	Liability	5.19
Impartiality	Interest_(emotion)	5.16
Energy	Laboratory	5.09
Minister_(government)	Senate	5.06
Capital_punishment	Convict	5.03
Monk	Oracle	5.0
Drinkware	Food	5.0
Academic_journal	Professional_body	4.97
Street	Child	4.94
Automobile	Flight	4.94
Space	Chemistry	4.88
null	Conclusion	4.81
Word	Similarity	4.75
Peace	Plan_(policy_debate)	4.75
Consumer	Energy_(society)	4.75
Minister_(Christianity)	Culture	4.69
Intelligence	Student	4.62
Investigation	Energy	4.59
Image	Surface	4.56
Life_imprisonment	null	4.5
null	Game	4.47
Computer	News	4.47
Board_of_directors	Recommendation	4.47
Boy	Brother	4.46
Observation	Architecture	4.38
Coast	Hill	4.38
Military_deployment	Departure	4.25
null	Index	4.25
null	Peace	4.25
Consumer	Confidence	4.13
null	Year	4.06
Attention	Personal_life	4.06
Economic_development	Issue_(legal)	3.97
Theatre	History	3.91
null	Solitude	3.88
Profit	null	3.88
Mass_media	Trade	3.88
Probability	Credibility	3.88
Precedent	Information	3.85
Architecture	Century	3.78
Population	null	3.75
Stock	Life	3.73
Peace	Atmosphere	3.69
Morality	Marriage	3.69
Minority_group	Peace	3.69
Atmosphere	Landscape	3.69
Report	Gain_(finance)	3.63
Music	Project	3.63
7_(number)	Series_(mathematics)	3.56
Experience	Music	3.47
School	null	3.44
5_(number)	Month	3.38
null	Manufacturing	3.38
Morality	Importance	3.31
Money	Surgery	3.31
Delay	News	3.31
Governor	Interview	3.25
null	Institution	3.19
Century	Nation	3.16
Coast	Forest	3.15
Shore	Woodland	3.08
Alcoholic_beverage	Automobile	3.04
President	Medal	3.0
Prejudice	Recognition	3.0
Observation	Serial_(radio_and_television)	2.97
Peace	Insurance	2.94
Mars	Water	2.94
Mass_media	Gain_(finance)	2.88
Precedent	Cognition	2.81
Announcer	Energy	2.75
Telephone_line	Insurance	2.69
Crane_(machine)	Tool	2.69
Drink	Mother	2.65
Opera	Industry	2.63
Volunteer	Motto	2.56
Listed_building	Distance	2.56
Precedent	Collecting	2.5
Drinkware	null	2.4
Sign	Recess_(break)	2.38
Problem	Airport	2.38
Reason	Hypertension	2.31
Direction_(geometry)	Combination	2.25
Wednesday	News	2.22
Glass	Magic_(illusion)	2.08
Cemetery	Woodland	2.08
Possibility	Girl	1.94
Drinkware	Substance	1.92
Forest	Graveyard	1.85
Stock	Egg_(food)	1.81
Month	Hotel	1.81
Energy	Secretary	1.81
Precedent	Group_(sociology)	1.77
Outline_of_industrial_organization	null	1.75
Stock	Telephone	1.62
Sacred	Sexual_intercourse	1.62
Stock	Compact_Disc	1.31
Drink	Ear	1.31
Delay	Racism	1.19
Stock	Life	0.92
Stock	Jaguar_Cars	0.92
Monk	Slavery	0.92
Boy	Magician_(fantasy)	0.92
Sugar	null	0.88
Rooster	Travel	0.62
Noon	Twine	0.54
Chord_(geometry)	Smile	0.54
Professor	Cucumber	0.31
King	Cabbage	0.23
